ANIM3,ALSO3,BBAS3,BBDC3,COGN3,IGTA3,ITSA4,LAME4,MGLU3,VVAR3
20.28,34.40,51.77,33.72,11.75,48.50,12.89,16.40,29.25,7.13
20.80,35.00,51.78,33.84,12.00,49.45,12.93,17.00,30.55,7.31
21.28,35.49,52.66,34.46,12.60,48.60,13.21,17.44,30.88,7.38
21.29,35.18,52.00,34.03,12.60,48.01,13.05,17.11,29.76,7.15
21.08,35.19,52.01,34.39,12.52,47.79,13.25,16.96,30.92,7.05
21.74,35.00,51.40,34.40,12.45,47.35,13.32,16.71,30.25,6.92
21.38,35.00,52.33,35.03,12.30,47.07,13.30,16.82,30.73,7.32
21.11,34.45,50.12,33.31,12.24,46.89,12.90,16.80,30.56,7.10
21.50,34.89,50.00,32.77,12.54,46.80,13.01,17.15,31.50,7.34
21.40,35.00,50.45,32.77,12.42,47.25,12.99,17.44,32.97,7.68
21.48,35.45,49.94,32.20,12.28,48.23,12.78,17.37,33.07,7.62
21.52,35.49,49.22,28.28,12.56,48.09,12.47,18.09,32.97,7.72
21.25,35.82,48.75,30.84,13.17,48.39,12.55,18.80,34.56,8.20
21.18,35.90,48.76,30.75,13.66,48.34,12.46,18.88,35.44,8.19
21.00,34.63,47.85,30.11,12.98,47.25,12.26,18.14,34.50,7.92
22.02,35.00,48.50,30.86,13.21,48.00,12.66,18.29,36.60,8.18
22.40,36.82,48.45,31.30,12.95,48.25,12.99,17.85,36.31,8.44
22.80,36.85,48.80,31.47,13.05,48.53,13.12,17.94,37.14,8.53
22.36,37.09,48.65,30.82,13.32,48.44,13.06,19.12,37.78,8.53
21.66,36.50,47.00,30.10,13.10,47.38,12.60,18.59,36.42,8.28
21.23,36.90,47.55,30.47,12.90,47.60,12.92,18.60,37.85,8.46
20.31,36.50,45.89,29.66,11.41,46.25,12.75,17.80,36.95,8.11
19.35,35.99,45.85,29.51,10.75,45.62,12.80,17.57,36.31,7.69
19.49,36.50,45.73,29.59,10.72,45.94,12.51,17.92,37.56,7.12
19.50,36.39,44.83,29.10,10.79,45.50,12.29,17.69,37.83,6.73
19.61,36.89,44.79,28.80,11.13,45.65,12.10,17.81,36.53,7.06
20.24,36.95,47.35,29.51,11.15,46.00,12.25,17.73,36.54,7.18
20.50,36.40,46.65,28.90,10.66,45.62,12.05,17.18,34.43,6.90
19.69,35.79,44.95,28.15,10.27,45.34,11.88,16.59,33.78,6.79
19.60,35.50,44.74,28.03,9.85,44.22,11.83,16.54,33.70,6.48
19.90,35.99,44.38,28.38,9.76,45.20,12.02,16.89,34.21,6.85
20.70,35.99,44.01,28.22,9.86,45.31,12.20,17.17,34.91,7.00
21.00,36.20,45.08,29.12,10.19,45.70,12.26,17.95,37.26,7.31
21.00,37.59,46.24,30.30,10.08,46.00,12.29,18.67,36.29,7.73
20.70,37.04,45.65,29.62,10.07,46.04,12.14,18.54,36.61,7.79
21.00,36.50,44.80,28.97,10.05,45.55,11.95,18.57,35.88,7.56
20.80,36.50,45.86,29.41,10.28,45.90,12.14,18.98,37.20,7.62
20.55,36.65,47.46,30.13,10.33,46.35,12.58,18.92,36.70,7.55
20.33,36.45,49.39,31.30,10.40,45.93,12.95,18.69,36.00,7.38
19.60,35.80,50.00,31.72,10.35,44.00,13.11,18.39,34.20,7.01
19.36,35.49,49.16,31.51,10.69,44.69,12.98,17.80,32.50,6.78
20.20,36.24,47.99,31.60,10.53,46.20,12.94,18.73,34.60,6.98
20.32,36.20,48.00,31.34,11.13,45.55,13.11,18.80,35.00,7.10
20.21,35.53,47.14,30.98,10.72,44.70,13.16,18.38,34.10,6.91
19.95,34.80,46.65,30.70,11.27,44.40,13.12,18.62,34.87,6.95
19.96,34.87,47.30,31.06,11.30,45.70,13.18,19.08,34.85,6.97
20.55,35.95,48.02,31.29,11.28,46.49,13.20,19.08,35.06,7.03
20.95,37.90,46.77,30.87,11.29,47.50,13.08,19.60,35.81,7.40
20.89,38.50,47.51,31.90,11.26,48.40,13.24,19.63,36.56,7.40
21.43,38.58,47.28,31.64,11.43,47.82,13.10,19.48,35.99,7.56
20.50,38.89,45.84,31.29,11.65,47.33,13.06,19.75,36.77,7.47
20.50,38.89,45.54,31.59,11.30,47.00,13.14,19.97,36.72,7.64
20.70,39.00,45.71,31.86,11.40,47.59,13.42,19.95,36.57,7.86
20.50,39.48,45.34,31.83,11.30,46.93,13.39,19.82,36.80,7.87
20.67,39.49,45.49,31.25,11.18,47.53,13.18,19.89,37.04,7.92
20.00,39.37,44.95,30.98,11.11,46.95,12.95,19.65,37.45,7.80
19.83,39.10,43.42,29.77,10.80,46.37,12.65,19.35,36.50,7.47
20.01,39.35,45.29,29.81,10.91,46.59,12.50,19.11,37.30,7.80
20.00,38.98,45.60,29.93,11.10,47.22,12.51,19.71,38.78,7.89
19.99,38.62,43.80,29.47,10.80,46.29,12.18,19.49,38.40,7.83
19.91,38.45,43.01,29.59,10.40,46.20,12.14,19.18,38.00,7.72
19.60,38.73,44.20,30.77,10.55,46.50,12.33,19.69,39.65,7.59
20.21,38.32,44.40,30.95,10.38,45.63,12.43,19.62,38.94,7.53
19.86,38.74,45.23,31.40,10.65,45.93,12.70,20.52,40.50,7.75
20.46,38.83,45.00,31.86,10.67,46.25,12.91,20.83,42.17,7.78
20.25,38.15,44.38,32.17,10.51,46.15,12.93,21.12,41.80,7.79
20.25,38.85,45.00,33.15,10.48,46.94,13.17,21.24,42.76,7.82
20.50,39.00,44.91,32.69,10.78,46.70,13.15,21.04,43.17,7.90
20.61,39.50,46.06,31.44,10.75,47.10,13.07,21.06,43.00,7.84
20.80,40.00,46.40,31.93,10.61,47.25,13.26,21.02,43.10,7.81
21.59,39.32,47.40,32.77,10.79,47.14,13.56,20.82,43.72,7.81
21.62,40.87,47.60,33.11,10.44,46.91,13.66,20.87,43.49,7.65
21.39,40.49,47.30,33.05,9.95,46.94,13.65,20.73,43.25,7.49
21.15,40.79,47.73,33.31,9.79,47.08,13.79,20.39,42.00,7.43
20.83,41.75,48.79,34.30,9.77,47.01,13.91,20.40,42.67,7.36
21.00,40.91,48.66,33.92,9.54,46.81,13.78,20.30,41.15,7.35
21.05,41.70,49.42,34.26,9.60,47.51,13.95,20.58,44.02,7.40
21.40,42.55,48.15,32.85,9.67,47.90,13.71,19.92,44.64,7.42
